,0,1
0,2013-01-01,0.9644343052841379
1,2013-02-01,0.9581168517861144
2,2013-03-01,0.9570993046068803
3,2013-04-01,0.9627641182947595
4,2013-05-01,0.968763141553813
5,2013-06-01,0.9658119512228532
6,2013-07-01,0.9634632934614631
7,2013-08-01,0.9608499111602796
8,2013-09-01,0.9605860291808253
9,2013-10-01,0.9689317521770688
10,2013-11-01,0.9594989082100054
11,2013-12-01,0.9555072236337474
12,2014-01-01,0.9659527778833642
13,2014-02-01,0.9600773081281477
14,2014-03-01,0.956441798758342
15,2014-04-01,0.9606661090581526
16,2014-05-01,0.9646306922399397
17,2014-06-01,0.9522939128571534
18,2014-07-01,0.9607699603479677
19,2014-08-01,0.9563390767660508
